date,url,headline,summary,scores
2023-01,https://www.presidency.ucsb.edu/documents/icymi-hanwha-q-cells-announces-the-largest-single-investment-solar-manufacturing-us,ICYMI: Hanwha Q CELLS Announces the Largest Single Investment in Solar Manufacturing in U.S. History,,
2023-02,https://koreajoongangdaily.joins.com/2023/02/16/business/industry/Kirea-Hanwha-Hanwha-Solutions/20230216190845362.html,Hanwha Solutions net down to 378 billion won in 2022 on sluggish demand,,
2023-03,https://www.q-cells.eu/en/press-releases/detail?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=300&cHash=fc42067d3e03c9ee8ed1d41482b11dfb,Hanwha Solutions and Solarwatt enter into patent licensing agreement,,
2023-10,https://koreajoongangdaily.joins.com/news/2023-10-31/business/industry/Hanwha-Solutions-reports-70-percent-drop-in-operating-profit/1902526,Hanwha Solutions reports 70 percent drop in Q3 operating profit,,
2024-02,https://en.yna.co.kr/view/AEN20240222006000320,Hanwha Solutions turns to red in 2023,,
2024-07,https://www.kedglobal.com/energy/newsView/ked202407260011,Hanwha Solutions to raise $1.5 bn amid mounting losses,,
2024-12,https://www.energy.gov/lpo/articles/lpo-announces-145-billion-loan-guarantee-qcells-finance-solar-manufacturing-facility,LPO Announces $1.45 Billion Loan Guarantee to Qcells to Finance a Solar Manufacturing Facility in Georgia,,
2024-12,https://carboncredits.com/hanwha-qcells-shines-with-record-breaking-solar-cell-efficiency-and-1-45-billion-doe-loan/,Hanwha Qcells Shines with Record-Breaking Solar Cell Efficiency and $1.45 Billion DOE Loan,,
2025-01,https://fuelcellsworks.com/2025/01/15/h2/hanwha-solutions-advances-hydrogen-fuel-cell-power-plant-projects-in-gwangju-and-pocheon,Hanwha Solutions Advances Hydrogen Projects in South Korea,,
2025-03,https://www.koreatimes.co.kr/business/companies/20250321/hanwhas-rights-offering-draws-backlash,Hanwha's rights offering draws backlash,,
2025-04,https://fuelcellsworks.com/2025/04/20/news/hanwha-solutions-achieves-korea-s-first-fuel-cell-co-capture-breakthrough-with-doosan-and-airein,Hanwha Solutions Achieves Korea's First Fuel Cell CO₂ Capture Breakthrough with Doosan and Airein,,
2025-06,https://www.hanwha.com/newsroom/news/press-releases/hanwha-qcells-expands-us-manufacturing-operations-with-launch-of-solar-recycling-business-ecorecycle.do,"Hanwha Qcells expands U.S. manufacturing operations with launch of solar recycling business, EcoRecycle",,
